username,password,role,contact_info,identity_last6,managed_building,managed_floor
venue_admin_banqiuchang,,venue_admin,场馆管理员-板球场,880106,板球场,
venue_admin_guangzhi,,venue_admin,场馆管理员-广知楼,880104,广知楼,
venue_admin_jianxing,,venue_admin,场馆管理员-健行楼,880101,健行楼,
venue_admin_jisuanji,,venue_admin,场馆管理员-计算机楼,880103,计算机楼,
venue_admin_tiyuguan,,venue_admin,场馆管理员-体育馆,880105,体育馆,
venue_admin_yishu,,venue_admin,场馆管理员-艺术楼,880102,艺术楼,
student00001,,student_teacher,2026级01班,300001,,
student00002,,student_teacher,2026级01班,300002,,
student00003,,student_teacher,2026级01班,300003,,
student00004,,student_teacher,2026级01班,300004,,
student00005,,student_teacher,2026级01班,300005,,
student00006,,student_teacher,2026级01班,300006,,
student00007,,student_teacher,2026级01班,300007,,
student00008,,student_teacher,2026级01班,300008,,
student00009,,student_teacher,2026级01班,300009,,
student00010,,student_teacher,2026级01班,300010,,
student00011,,student_teacher,2026级01班,300011,,
student00012,,student_teacher,2026级01班,300012,,
student00013,,student_teacher,2026级01班,300013,,
student00014,,student_teacher,2026级01班,300014,,
student00015,,student_teacher,2026级01班,300015,,
student00016,,student_teacher,2026级01班,300016,,
student00017,,student_teacher,2026级01班,300017,,
student00018,,student_teacher,2026级01班,300018,,
student00019,,student_teacher,2026级01班,300019,,
student00020,,student_teacher,2026级01班,300020,,
student00021,,student_teacher,2026级01班,300021,,
student00022,,student_teacher,2026级01班,300022,,
student00023,,student_teacher,2026级01班,300023,,
student00024,,student_teacher,2026级01班,300024,,
student00025,,student_teacher,2026级01班,300025,,
student00026,,student_teacher,2026级02班,300026,,
student00027,,student_teacher,2026级02班,300027,,
student00028,,student_teacher,2026级02班,300028,,
student00029,,student_teacher,2026级02班,300029,,
student00030,,student_teacher,2026级02班,300030,,
student00031,,student_teacher,2026级02班,300031,,
student00032,,student_teacher,2026级02班,300032,,
student00033,,student_teacher,2026级02班,300033,,
student00034,,student_teacher,2026级02班,300034,,
student00035,,student_teacher,2026级02班,300035,,
student00036,,student_teacher,2026级02班,300036,,
student00037,,student_teacher,2026级02班,300037,,
student00038,,student_teacher,2026级02班,300038,,
student00039,,student_teacher,2026级02班,300039,,
student00040,,student_teacher,2026级02班,300040,,
student00041,,student_teacher,2026级02班,300041,,
student00042,,student_teacher,2026级02班,300042,,
student00043,,student_teacher,2026级02班,300043,,
student00044,,student_teacher,2026级02班,300044,,
student00045,,student_teacher,2026级02班,300045,,
student00046,,student_teacher,2026级02班,300046,,
student00047,,student_teacher,2026级02班,300047,,
student00048,,student_teacher,2026级02班,300048,,
student00049,,student_teacher,2026级02班,300049,,
student00050,,student_teacher,2026级02班,300050,,
student00051,,student_teacher,2026级03班,300051,,
student00052,,student_teacher,2026级03班,300052,,
student00053,,student_teacher,2026级03班,300053,,
student00054,,student_teacher,2026级03班,300054,,
student00055,,student_teacher,2026级03班,300055,,
student00056,,student_teacher,2026级03班,300056,,
student00057,,student_teacher,2026级03班,300057,,
student00058,,student_teacher,2026级03班,300058,,
student00059,,student_teacher,2026级03班,300059,,
student00060,,student_teacher,2026级03班,300060,,
student00061,,student_teacher,2026级03班,300061,,
student00062,,student_teacher,2026级03班,300062,,
student00063,,student_teacher,2026级03班,300063,,
student00064,,student_teacher,2026级03班,300064,,
student00065,,student_teacher,2026级03班,300065,,
student00066,,student_teacher,2026级03班,300066,,
student00067,,student_teacher,2026级03班,300067,,
student00068,,student_teacher,2026级03班,300068,,
student00069,,student_teacher,2026级03班,300069,,
student00070,,student_teacher,2026级03班,300070,,
student00071,,student_teacher,2026级03班,300071,,
student00072,,student_teacher,2026级03班,300072,,
student00073,,student_teacher,2026级03班,300073,,
student00074,,student_teacher,2026级03班,300074,,
student00075,,student_teacher,2026级03班,300075,,
student00076,,student_teacher,2026级04班,300076,,
student00077,,student_teacher,2026级04班,300077,,
student00078,,student_teacher,2026级04班,300078,,
student00079,,student_teacher,2026级04班,300079,,
student00080,,student_teacher,2026级04班,300080,,
student00081,,student_teacher,2026级04班,300081,,
student00082,,student_teacher,2026级04班,300082,,
student00083,,student_teacher,2026级04班,300083,,
student00084,,student_teacher,2026级04班,300084,,
student00085,,student_teacher,2026级04班,300085,,
student00086,,student_teacher,2026级04班,300086,,
student00087,,student_teacher,2026级04班,300087,,
student00088,,student_teacher,2026级04班,300088,,
student00089,,student_teacher,2026级04班,300089,,
student00090,,student_teacher,2026级04班,300090,,
student00091,,student_teacher,2026级04班,300091,,
student00092,,student_teacher,2026级04班,300092,,
student00093,,student_teacher,2026级04班,300093,,
student00094,,student_teacher,2026级04班,300094,,
student00095,,student_teacher,2026级04班,300095,,
student00096,,student_teacher,2026级04班,300096,,
student00097,,student_teacher,2026级04班,300097,,
student00098,,student_teacher,2026级04班,300098,,
student00099,,student_teacher,2026级04班,300099,,
student00100,,student_teacher,2026级04班,300100,,
