username,password,role,contact_info,identity_last6,managed_building,managed_floor
admin,Admin@123456,sys_admin,系统管理员,990001,,
venue_admin_jianxing,Admin@123456,venue_admin,场馆管理员-健行楼,880101,健行楼,
venue_admin_yishu,Admin@123456,venue_admin,场馆管理员-艺术楼,880102,艺术楼,
venue_admin_jisuanji,Admin@123456,venue_admin,场馆管理员-计算机楼,880103,计算机楼,
venue_admin_guangzhi,Admin@123456,venue_admin,场馆管理员-广知楼,880104,广知楼,
venue_admin_tiyuguan,Admin@123456,venue_admin,场馆管理员-体育馆,880105,体育馆,
venue_admin_banqiuchang,Admin@123456,venue_admin,场馆管理员-板球场,880106,板球场,
floor_admin_jianxing_1,Admin@123456,floor_admin,楼层管理员-健行楼1层,881101,健行楼,1层
floor_admin_yishu_2,Admin@123456,floor_admin,楼层管理员-艺术楼2层,881102,艺术楼,2层
floor_admin_jisuanji_3,Admin@123456,floor_admin,楼层管理员-计算机楼3层,881103,计算机楼,3层
floor_admin_guangzhi_1,Admin@123456,floor_admin,楼层管理员-广知楼1层,881104,广知楼,1层
floor_admin_tiyuguan_1,Admin@123456,floor_admin,楼层管理员-体育馆1层,881105,体育馆,1层
floor_admin_banqiuchang_out,Admin@123456,floor_admin,楼层管理员-板球场室外,881106,板球场,室外
student00001,Student@123456,student_teacher,2026级01班,200001,,
student00002,Student@123456,student_teacher,2026级01班,200002,,
student00003,Student@123456,student_teacher,2026级01班,200003,,
student00004,Student@123456,student_teacher,2026级01班,200004,,
student00005,Student@123456,student_teacher,2026级01班,200005,,
student00006,Student@123456,student_teacher,2026级01班,200006,,
student00007,Student@123456,student_teacher,2026级01班,200007,,
student00008,Student@123456,student_teacher,2026级01班,200008,,
student00009,Student@123456,student_teacher,2026级01班,200009,,
student00010,Student@123456,student_teacher,2026级01班,200010,,
student00011,Student@123456,student_teacher,2026级01班,200011,,
student00012,Student@123456,student_teacher,2026级01班,200012,,
student00013,Student@123456,student_teacher,2026级01班,200013,,
student00014,Student@123456,student_teacher,2026级01班,200014,,
student00015,Student@123456,student_teacher,2026级01班,200015,,
student00016,Student@123456,student_teacher,2026级01班,200016,,
student00017,Student@123456,student_teacher,2026级01班,200017,,
student00018,Student@123456,student_teacher,2026级01班,200018,,
student00019,Student@123456,student_teacher,2026级01班,200019,,
student00020,Student@123456,student_teacher,2026级01班,200020,,
student00021,Student@123456,student_teacher,2026级01班,200021,,
student00022,Student@123456,student_teacher,2026级01班,200022,,
student00023,Student@123456,student_teacher,2026级01班,200023,,
student00024,Student@123456,student_teacher,2026级01班,200024,,
student00025,Student@123456,student_teacher,2026级01班,200025,,
student00026,Student@123456,student_teacher,2026级01班,200026,,
student00027,Student@123456,student_teacher,2026级01班,200027,,
student00028,Student@123456,student_teacher,2026级01班,200028,,
student00029,Student@123456,student_teacher,2026级01班,200029,,
student00030,Student@123456,student_teacher,2026级01班,200030,,
student00031,Student@123456,student_teacher,2026级01班,200031,,
student00032,Student@123456,student_teacher,2026级01班,200032,,
student00033,Student@123456,student_teacher,2026级01班,200033,,
student00034,Student@123456,student_teacher,2026级01班,200034,,
student00035,Student@123456,student_teacher,2026级01班,200035,,
student00036,Student@123456,student_teacher,2026级01班,200036,,
student00037,Student@123456,student_teacher,2026级01班,200037,,
student00038,Student@123456,student_teacher,2026级01班,200038,,
student00039,Student@123456,student_teacher,2026级01班,200039,,
student00040,Student@123456,student_teacher,2026级01班,200040,,
student00041,Student@123456,student_teacher,2026级01班,200041,,
student00042,Student@123456,student_teacher,2026级01班,200042,,
student00043,Student@123456,student_teacher,2026级01班,200043,,
student00044,Student@123456,student_teacher,2026级01班,200044,,
student00045,Student@123456,student_teacher,2026级01班,200045,,
student00046,Student@123456,student_teacher,2026级01班,200046,,
student00047,Student@123456,student_teacher,2026级01班,200047,,
student00048,Student@123456,student_teacher,2026级01班,200048,,
student00049,Student@123456,student_teacher,2026级01班,200049,,
student00050,Student@123456,student_teacher,2026级01班,200050,,
student00051,Student@123456,student_teacher,2026级02班,200051,,
student00052,Student@123456,student_teacher,2026级02班,200052,,
student00053,Student@123456,student_teacher,2026级02班,200053,,
student00054,Student@123456,student_teacher,2026级02班,200054,,
student00055,Student@123456,student_teacher,2026级02班,200055,,
student00056,Student@123456,student_teacher,2026级02班,200056,,
student00057,Student@123456,student_teacher,2026级02班,200057,,
student00058,Student@123456,student_teacher,2026级02班,200058,,
student00059,Student@123456,student_teacher,2026级02班,200059,,
student00060,Student@123456,student_teacher,2026级02班,200060,,
student00061,Student@123456,student_teacher,2026级02班,200061,,
student00062,Student@123456,student_teacher,2026级02班,200062,,
student00063,Student@123456,student_teacher,2026级02班,200063,,
student00064,Student@123456,student_teacher,2026级02班,200064,,
student00065,Student@123456,student_teacher,2026级02班,200065,,
student00066,Student@123456,student_teacher,2026级02班,200066,,
student00067,Student@123456,student_teacher,2026级02班,200067,,
student00068,Student@123456,student_teacher,2026级02班,200068,,
student00069,Student@123456,student_teacher,2026级02班,200069,,
student00070,Student@123456,student_teacher,2026级02班,200070,,
student00071,Student@123456,student_teacher,2026级02班,200071,,
student00072,Student@123456,student_teacher,2026级02班,200072,,
student00073,Student@123456,student_teacher,2026级02班,200073,,
student00074,Student@123456,student_teacher,2026级02班,200074,,
